Fecha,Familia_canacero,Vol. Ventas (ton)
2024-03,06.01 PERFILES COMERCIALES,3289
2024-04,05.01 PERFILES ESTRUCTURALES,9901
2024-04,04.01 LAMINA GALVANIZADA,1371
2024-04,03.01 LAMINA EN FRIO,3115
2024-04,06.01 PERFILES COMERCIALES,4881
2024-04,01.02 PLACA DE HOJA,2338
2024-04,01.01 PLACA DE ROLLO,14461
2024-04,02.01 LAMINA EN CALIENTE,18493
2024-05,05.01 PERFILES ESTRUCTURALES,11008
2024-05,04.01 LAMINA GALVANIZADA,1212
2024-05,03.01 LAMINA EN FRIO,2345
2024-05,06.01 PERFILES COMERCIALES,4462
2024-05,01.02 PLACA DE HOJA,3064
2024-05,01.01 PLACA DE ROLLO,15098
2024-05,02.01 LAMINA EN CALIENTE,15880
2024-06,01.01 PLACA DE ROLLO,17140
2024-06,01.02 PLACA DE HOJA,2165
2024-06,02.01 LAMINA EN CALIENTE,17421
2024-06,03.01 LAMINA EN FRIO,2354
2024-06,04.01 LAMINA GALVANIZADA,1199
2024-06,05.01 PERFILES ESTRUCTURALES,10978
2024-06,06.01 PERFILES COMERCIALES,3853
2024-07,04.01 LAMINA GALVANIZADA,1216
2024-07,06.01 PERFILES COMERCIALES,5026
2024-07,03.01 LAMINA EN FRIO,2168
2024-07,05.01 PERFILES ESTRUCTURALES,11659
2024-07,01.02 PLACA DE HOJA,2402
2024-07,01.01 PLACA DE ROLLO,15509
2024-07,02.01 LAMINA EN CALIENTE,16572
2024-08,05.01 PERFILES ESTRUCTURALES,11144
