Año,Mes,País,Producto,Importacion
2024,Julio,Chile,Tubos Sin Costura,2.3104069
2024,Julio,Chile,Laminados,216.78869501999995
2024,Julio,Colombia,Largos,54.4681107
2024,Julio,Colombia,Planos,142.90687042
2024,Julio,Colombia,Tubos Sin Costura,13.31734224
2024,Julio,Colombia,Laminados,210.69232335999996
2024,Julio,Costa Rica,Largos,3.0703767199999996
2024,Julio,Costa Rica,Planos,3.40558098
2024,Julio,Costa Rica,Tubos Sin Costura,0.08312686999999974
2024,Julio,Costa Rica,Laminados,6.55908457
2024,Julio,Ecuador,Largos,9.171496200000005
2024,Julio,Ecuador,Planos,69.3450301
2024,Julio,Ecuador,Tubos Sin Costura,6.4156696000000055
2024,Julio,Ecuador,Laminados,84.93219590000001
2024,Julio,El Salvador,Largos,10.838296230000005
2024,Julio,El Salvador,Planos,31.97703621
2024,Julio,El Salvador,Tubos Sin Costura,0.34593635000000006
2024,Julio,El Salvador,Laminados,43.16126879000001
2024,Julio,Guatemala,Largos,33.56569
2024,Julio,Guatemala,Planos,76.073555
2024,Julio,Guatemala,Tubos Sin Costura,0.345665
2024,Julio,Guatemala,Laminados,109.98490999999999
2024,Julio,Honduras,Largos,16.90048202
2024,Julio,Honduras,Planos,57.55567146999999
2024,Julio,Honduras,Tubos Sin Costura,0.08640758999999998
2024,Julio,Honduras,Laminados,74.54256107999998
2024,Julio,México,Largos,204.27687610757
2024,Julio,México,Planos,949.55355495594
2024,Julio,México,Tubos Sin Costura,13.18438425047
2024,Julio,México,Laminados,1167.0148153139799
2024,Julio,Panamá,Largos,33.45345
2024,Julio,Panamá,Planos,19.627242
2024,Julio,Panamá,Tubos Sin Costura,0.1623
2024,Julio,Panamá,Laminados,53.242992
2024,Julio,Paraguay,Largos,10.469572699999997
2024,Julio,Paraguay,Planos,29.671730900000004
2024,Julio,Paraguay,Tubos Sin Costura,0.1639402
2024,Julio,Paraguay,Laminados,40.3052438
2024,Julio,Perú,Largos,52.80034148000008
2024,Julio,Perú,Planos,96.81845435999992
2024,Julio,Perú,Tubos Sin Costura,5.11322618
2024,Julio,Perú,Laminados,154.73202202
2024,Julio,Uruguay,Largos,2.832755
2024,Julio,Uruguay,Planos,7.81053
2024,Julio,Uruguay,Tubos Sin Costura,0.129927
2024,Julio,Uruguay,Laminados,10.773212000000001
2024,Julio,Venezuela,Largos,4.562936
2024,Julio,Venezuela,Planos,31.105634
2024,Julio,Venezuela,Tubos Sin Costura,0.777376
2024,Julio,Venezuela,Laminados,36.44594599999999
2024,Agosto,Argentina,Largos,12.344
2024,Agosto,Argentina,Planos,14.114
2024,Agosto,Argentina,Tubos Sin Costura,2.554
2024,Agosto,Argentina,Laminados,29.011999999999997
2024,Agosto,Bolivia,Largos,12.392564
2024,Agosto,Bolivia,Planos,18.456571
2024,Agosto,Bolivia,Tubos Sin Costura,1.148772
2024,Agosto,Bolivia,Laminados,31.997907
2024,Agosto,Brasil,Largos,119.19
2024,Agosto,Brasil,Planos,323.003
2024,Agosto,Brasil,Tubos Sin Costura,0.0
2024,Agosto,Brasil,Laminados,269.552
2024,Agosto,Chile,Largos,68.85756780999995
2024,Agosto,Chile,Planos,129.46710089
2024,Agosto,Chile,Tubos Sin Costura,4.116872080000002
2024,Agosto,Chile,Laminados,202.44154077999997
2024,Agosto,Colombia,Largos,53.73181619
2024,Agosto,Colombia,Planos,119.03576642
2024,Agosto,Colombia,Tubos Sin Costura,9.30519803
2024,Agosto,Colombia,Laminados,182.07278064000002
2024,Agosto,Costa Rica,Largos,22.073801039999992
2024,Agosto,Costa Rica,Planos,34.24469392000001
2024,Agosto,Costa Rica,Tubos Sin Costura,0.23984983999999954
2024,Agosto,Costa Rica,Laminados,56.5583448
2024,Agosto,Ecuador,Largos,7.7503497099999965
2024,Agosto,Ecuador,Planos,68.23881430999994
2024,Agosto,Ecuador,Tubos Sin Costura,5.244199799999999
2024,Agosto,Ecuador,Laminados,81.23336381999994
2024,Agosto,El Salvador,Largos,16.811888200000002
2024,Agosto,El Salvador,Planos,15.966778300000001
2024,Agosto,El Salvador,Tubos Sin Costura,0.25758570000000003
2024,Agosto,El Salvador,Laminados,33.0362522
2024,Agosto,Guatemala,Largos,36.151507
2024,Agosto,Guatemala,Planos,56.784697
2024,Agosto,Guatemala,Tubos Sin Costura,1.856299
2024,Agosto,Guatemala,Laminados,94.79250300000001
2024,Agosto,Honduras,Largos,15.735178640000003
2024,Agosto,Honduras,Planos,11.23791283
2024,Agosto,Honduras,Tubos Sin Costura,0.19815026999999996
2024,Agosto,Honduras,Laminados,27.171241740000003
2024,Agosto,México,Largos,160.75864525666
