Año,Mes,País,Producto,Consumo
2024,Mayo,Perú,Tubos Sin Costura,6.018770099999992
2024,Mayo,Perú,Laminados,336.8067566964241
2024,Mayo,República Dominicana,Largos,34.57864333855069
2024,Mayo,República Dominicana,Planos,5.314244940146287
2024,Mayo,República Dominicana,Tubos Sin Costura,0.0
2024,Mayo,República Dominicana,Laminados,39.89288827869698
2024,Mayo,Uruguay,Largos,7.714962240255501
2024,Mayo,Uruguay,Planos,9.298229000000001
2024,Mayo,Uruguay,Tubos Sin Costura,0.16777
2024,Mayo,Uruguay,Laminados,17.180961240255503
2024,Mayo,Venezuela,Largos,7.216701081484455
2024,Mayo,Venezuela,Planos,6.773771
2024,Mayo,Venezuela,Tubos Sin Costura,8.869367
2024,Mayo,Venezuela,Laminados,22.859839081484456
2024,Junio,Argentina,Largos,51.905
2024,Junio,Argentina,Planos,152.16
2024,Junio,Argentina,Tubos Sin Costura,26.318
2024,Junio,Argentina,Laminados,230.383
2024,Junio,Bolivia,Largos,10.179729
2024,Junio,Bolivia,Planos,10.483895
2024,Junio,Bolivia,Tubos Sin Costura,2.1620006666666667
2024,Junio,Bolivia,Laminados,22.825624666666666
2024,Junio,Brasil,Largos,858.425
2024,Junio,Brasil,Planos,1327.942
2024,Junio,Brasil,Tubos Sin Costura,0.0
2024,Junio,Brasil,Laminados,2186.367
2024,Junio,Chile,Largos,89.37089116000008
2024,Junio,Chile,Planos,60.66754053999999
2024,Junio,Chile,Tubos Sin Costura,0.9573382899999996
2024,Junio,Chile,Laminados,150.99576999000007
2024,Junio,Colombia,Largos,186.72792103999998
2024,Junio,Colombia,Planos,97.83874503
2024,Junio,Colombia,Tubos Sin Costura,7.3983421499999995
2024,Junio,Colombia,Laminados,291.96500822
2024,Junio,Costa Rica,Largos,20.42131749805108
2024,Junio,Costa Rica,Planos,9.93527191999999
2024,Junio,Costa Rica,Tubos Sin Costura,0.020959070000000087
2024,Junio,Costa Rica,Laminados,30.377548488051072
2024,Junio,Ecuador,Largos,63.99058439604592
2024,Junio,Ecuador,Planos,57.89545488999999
2024,Junio,Ecuador,Tubos Sin Costura,4.457088200000004
2024,Junio,Ecuador,Laminados,126.3431274860459
2024,Junio,El Salvador,Largos,8.879186439999998
2024,Junio,El Salvador,Planos,18.608293770000003
2024,Junio,El Salvador,Tubos Sin Costura,0.13377611
2024,Junio,El Salvador,Laminados,27.62125632
2024,Junio,Guatemala,Largos,49.24417100483537
2024,Junio,Guatemala,Planos,26.810422999999997
2024,Junio,Guatemala,Tubos Sin Costura,-0.034222
2024,Junio,Guatemala,Laminados,76.02037200483537
2024,Junio,Honduras,Largos,8.74502903
2024,Junio,Honduras,Planos,6.708445369999998
2024,Junio,Honduras,Tubos Sin Costura,0.038016610000000006
2024,Junio,Honduras,Laminados,15.491491009999997
2024,Junio,México,Largos,758.3366240710101
2024,Junio,México,Planos,1329.74025916137
2024,Junio,México,Tubos Sin Costura,14.477113539819996
2024,Junio,México,Laminados,2102.5539967722
2024,Junio,Panamá,Largos,27.193668000000002
2024,Junio,Panamá,Planos,9.654653
2024,Junio,Panamá,Tubos Sin Costura,0.310465
2024,Junio,Panamá,Laminados,37.158786
2024,Junio,Paraguay,Largos,8.981668705318217
2024,Junio,Paraguay,Planos,18.8264401
2024,Junio,Paraguay,Tubos Sin Costura,0.021895599999999998
2024,Junio,Paraguay,Laminados,27.830004405318217
2024,Junio,Perú,Largos,266.0205105110933
2024,Junio,Perú,Planos,88.72384153018866
2024,Junio,Perú,Tubos Sin Costura,4.0713489299999965
2024,Junio,Perú,Laminados,358.81570097128196
2024,Junio,República Dominicana,Largos,37.91895824466235
2024,Junio,República Dominicana,Planos,8.280818696286856
2024,Junio,República Dominicana,Tubos Sin Costura,0.0
2024,Junio,República Dominicana,Laminados,46.19977694094921
2024,Junio,Uruguay,Largos,7.807905938874307
2024,Junio,Uruguay,Planos,7.820406
2024,Junio,Uruguay,Tubos Sin Costura,0.081812
2024,Junio,Uruguay,Laminados,15.710123938874307
2024,Junio,Venezuela,Largos,7.833397583581441
2024,Junio,Venezuela,Planos,16.49065033333333
2024,Junio,Venezuela,Tubos Sin Costura,1.777568
2024,Junio,Venezuela,Laminados,26.10161591691477
2024,Julio,Argentina,Largos,64.142
2024,Julio,Argentina,Planos,204.76100000000002
2024,Julio,Argentina,Tubos Sin Costura,20.715
2024,Julio,Argentina,Laminados,289.618
2024,Julio,Bolivia,Largos,13.081556
2024,Julio,Bolivia,Planos,11.806744
2024,Julio,Bolivia,Tubos Sin Costura,0.9894508888888888
2024,Julio,Bolivia,Laminados,25.87775088888889
2024,Julio,Brasil,Largos,944.176
2024,Julio,Brasil,Planos,1328.889
2024,Julio,Brasil,Tubos Sin Costura,0.0
2024,Julio,Brasil,Laminados,2273.065
2024,Julio,Chile,Largos,58.91890790000001
2024,Julio,Chile,Planos,173.58572772999995
2024,Julio,Chile,Tubos Sin Costura,2.1648964399999997
2024,Julio,Chile,Laminados,234.66953206999995
2024,Julio,Colombia,Largos,208.55521379
2024,Julio,Colombia,Planos,137.66134514
2024,Julio,Colombia,Tubos Sin Costura,11.14331989
2024,Julio,Colombia,Laminados,357.35987882
2024,Julio,Costa Rica,Largos,20.023108968093695
2024,Julio,Costa Rica,Planos,-4.02722916
2024,Julio,Costa Rica,Tubos Sin Costura,0.07448974999999974
2024,Julio,Costa Rica,Laminados,16.070369558093695
2024,Julio,Ecuador,Largos,60.07073026025697
2024,Julio,Ecuador,Planos,69.1219835
2024,Julio,Ecuador,Tubos Sin Costura,6.223447700000006
2024,Julio,Ecuador,Laminados,135.41616146025697
2024,Julio,El Salvador,Largos,5.518437530000005
2024,Julio,El Salvador,Planos,23.49084499
2024,Julio,El Salvador,Tubos Sin Costura,0.32287274000000005
2024,Julio,El Salvador,Laminados,29.332155260000008
2024,Julio,Guatemala,Largos,50.28702733493214
2024,Julio,Guatemala,Planos,69.182784
2024,Julio,Guatemala,Tubos Sin Costura,0.211398
2024,Julio,Guatemala,Laminados,119.68120933493213
2024,Julio,Honduras,Largos,10.840748419999997
2024,Julio,Honduras,Planos,55.351649189999996
2024,Julio,Honduras,Tubos Sin Costura,0.08615758999999998
2024,Julio,Honduras,Laminados,66.2785552
2024,Julio,México,Largos,824.9689134711399
2024,Julio,México,Planos,1526.87830482124
2024,Julio,México,Tubos Sin Costura,23.259872891979995
2024,Julio,México,Laminados,2375.10709118436
2024,Julio,Panamá,Largos,33.386708
2024,Julio,Panamá,Planos,19.449389999999998
2024,Julio,Panamá,Tubos Sin Costura,0.1623
2024,Julio,Panamá,Laminados,52.998397999999995
2024,Julio,Paraguay,Largos,11.776815486245525
2024,Julio,Paraguay,Planos,29.633074900000004
2024,Julio,Paraguay,Tubos Sin Costura,0.1639402
2024,Julio,Paraguay,Laminados,41.57383058624553
2024,Julio,Perú,Largos,192.91255599841728
2024,Julio,Perú,Planos,98.84432283887223
2024,Julio,Perú,Tubos Sin Costura,5.07177481
2024,Julio,Perú,Laminados,296.8286536472895
2024,Julio,República Dominicana,Largos,42.12662074965653
2024,Julio,República Dominicana,Planos,9.084859679812856
2024,Julio,República Dominicana,Tubos Sin Costura,0.0
2024,Julio,República Dominicana,Laminados,51.21148042946939
2024,Julio,Uruguay,Largos,8.954065618688833
2024,Julio,Uruguay,Planos,7.804849
2024,Julio,Uruguay,Tubos Sin Costura,0.12986499999999998
2024,Julio,Uruguay,Laminados,16.888779618688833
2024,Julio,Venezuela,Largos,12.542714191838373
2024,Julio,Venezuela,Planos,31.105619777777775
2024,Julio,Venezuela,Tubos Sin Costura,0.7223759999999999
2024,Julio,Venezuela,Laminados,44.370709969616144
2024,Agosto,Argentina,Largos,90.71999999999998
2024,Agosto,Argentina,Planos,178.601
2024,Agosto,Argentina,Tubos Sin Costura,38.753
2024,Agosto,Argentina,Laminados,308.07399999999996
2024,Agosto,Bolivia,Largos,12.3923418
2024,Agosto,Bolivia,Planos,18.245193
2024,Agosto,Bolivia,Tubos Sin Costura,1.1062958518518518
2024,Agosto,Bolivia,Laminados,31.74383065185185
2024,Agosto,Brasil,Largos,993.475
2024,Agosto,Brasil,Planos,1455.015
2024,Agosto,Brasil,Tubos Sin Costura,0.0
2024,Agosto,Brasil,Laminados,2448.4900000000002
2024,Agosto,Chile,Largos,145.01637231000117
2024,Agosto,Chile,Planos,126.73543876000001
2024,Agosto,Chile,Tubos Sin Costura,3.973350680000002
2024,Agosto,Chile,Laminados,275.7251617500012
