Año,Mes,Familia_canacero,Vol. Ventas (ton)
2022,octubre,05.01 PERFILES ESTRUCTURALES,10589.913054
2022,octubre,06.01 PERFILES COMERCIALES,4346.115265
2022,noviembre,01.01 PLACA DE ROLLO,16800.688793999994
2022,noviembre,01.02 PLACA DE HOJA,2031.4717710000002
2022,noviembre,02.01 LAMINA EN CALIENTE,13104.247457000007
2022,noviembre,03.01 LAMINA EN FRIO,2380.8490819999997
2022,noviembre,04.01 LAMINA GALVANIZADA,1065.049754
2022,noviembre,05.01 PERFILES ESTRUCTURALES,8473.785053
2022,noviembre,06.01 PERFILES COMERCIALES,3827.9117769999993
2022,diciembre,01.01 PLACA DE ROLLO,19152.863010999998
2022,diciembre,01.02 PLACA DE HOJA,2099.324274
2022,diciembre,02.01 LAMINA EN CALIENTE,15591.201433
2022,diciembre,03.01 LAMINA EN FRIO,2368.562069
2022,diciembre,04.01 LAMINA GALVANIZADA,977.1275869999998
2022,diciembre,05.01 PERFILES ESTRUCTURALES,9028.499574000001
2022,diciembre,06.01 PERFILES COMERCIALES,4750.722138
2023,enero,01.01 PLACA DE ROLLO,17807.996633999992
2023,enero,01.02 PLACA DE HOJA,2553.7263260000004
2023,enero,02.01 LAMINA EN CALIENTE,15954.128316999993
2023,enero,03.01 LAMINA EN FRIO,2881.745364
2023,enero,04.01 LAMINA GALVANIZADA,1099.5015130000002
2023,enero,05.01 PERFILES ESTRUCTURALES,9293.117347000001
2023,enero,06.01 PERFILES COMERCIALES,5088.514956
2023,febrero,01.01 PLACA DE ROLLO,17776.427444999987
2023,febrero,01.02 PLACA DE HOJA,1972.8255
2023,febrero,02.01 LAMINA EN CALIENTE,15622.274981999997
2023,febrero,03.01 LAMINA EN FRIO,2113.40279
2023,febrero,04.01 LAMINA GALVANIZADA,1050.1241010000003
2023,febrero,05.01 PERFILES ESTRUCTURALES,7787.308986999999
2023,febrero,06.01 PERFILES COMERCIALES,3412.1020350000003
2023,marzo,01.01 PLACA DE ROLLO,19342.10970200001
2023,marzo,01.02 PLACA DE HOJA,2561.7821480000007
2023,marzo,02.01 LAMINA EN CALIENTE,17088.940371000008
2023,marzo,03.01 LAMINA EN FRIO,2194.652216
2023,marzo,04.01 LAMINA GALVANIZADA,1136.2925120000002
2023,marzo,05.01 PERFILES ESTRUCTURALES,11884.001475999996
2023,marzo,06.01 PERFILES COMERCIALES,3962.326929
2023,abril,01.01 PLACA DE ROLLO,13182.691436999996
2023,abril,01.02 PLACA DE HOJA,1656.632054
2023,abril,02.01 LAMINA EN CALIENTE,11601.409739
2023,abril,03.01 LAMINA EN FRIO,2223.59734
2023,abril,04.01 LAMINA GALVANIZADA,811.5204270000003
2023,abril,05.01 PERFILES ESTRUCTURALES,8952.867208
2023,abril,06.01 PERFILES COMERCIALES,3625.264814
2023,mayo,01.01 PLACA DE ROLLO,15155.493013999998
2023,mayo,01.02 PLACA DE HOJA,2141.2008689999993
